review,rating,sentiment
bagus,5,Positive
ok,5,Positive
ko skrg gak ad notifikasi uang masuk y dari aktivitas y ..yg lain bagus cuma gak ad notifikasi aj,5,Positive
asik,5,Positive
"BCA ID ku keblokir terus ke apa sih! dari Januari sudah 5x keblokir perkara logout out, masukin password juga copy paste sama persis tapi selalu salah, sekali salah BCA id langsung diblokir sistem,kalau begini terus buat apa ada my BCA?. sebenernya ini masalahnya di sistem apa emang aku dilarang pakai BCA lagi yaa?. emang aku pake ponsel baru tapi sistemnya jangan terlalu sensitif dong login juga dari tempat yang sama jaringan yang sama ,pulsa abis hanya untuk hubungin CS",1,Negative
"fenomena aneh, verifikasi no telepon tidak ada kode telpon Indonesia",2,Negative
di perbarui bukannya lebih baik malah jadi gangguan mulu transferan jadi pending mulu. tolong dong diperbaik lagi sistemnya. nasaba karena ga nyaman bisa pindah bank lagi.,1,Negative
sangat di rekomendasikan,5,Positive
"jgn sll update kecuali sistem dan keamanan dr menu yg ad ud ckp bgs,tdk smua hp bs buka dan jd lemot,sertakan bahasa indony jg trmksh",3,Neutral
kok ga bisa login di tab Advan sketsa ya,3,Neutral
Bank BCA sangat bermanfaat bagi kebutuhan Masyarakat 👍👍👍,5,Positive
mantap,5,Positive
"aplikasi cocok sangat membantu dalam transaksi, walaupun tabungan expresi bisa transfer diatas 100 j ini 👍",5,Positive
good,5,Positive
"udh dapat informasi aku dari bca, jdi aku rubah bintangnya",5,Positive
sangat bagus,5,Positive
saya memberi Empat bintang dulu kalau bagus saya tambah bintang nya,4,Positive
"sudah selesai syarat utk download my bca. pas mau masuk kenapa harus buat id, pasword dan masukin data pribadi lagi, bgtu trus smpe bbrp kali. jadi belum bs di buka my bca saya",2,Negative
bagus sekali,5,Positive
bingung verifikasi wajah saya gagal terus padahal muka sama yg lebih bodoh nya lagi sdh tau saya itu ganti hp Krn hilang eh sm cs ny suruh buka history di hp lama gimana cb cara buka nya kl hp ny saja hilang,1,Negative
terlalu banyak bug dalam aplikasi,1,Negative
bagus,5,Positive
"maaf bintang 2 😊,sebelum menginstal BANK ini, saya SEBELUMNYA sudah punya SID, TAPI DISINI sya kecewa untuk pendaftaran investasi knpa mesti datang ke kantor cabang, TIDAK SEPERTI BANK LAIN MISAL BRI / JAGO YG LANGSUNG TAHU SID SAYA, TNPA HRUS PERGI KE BANK NYA LAGI, LALU FUNGSI APK INI NYA APA YA? KLO DI ARAHKN KE CABANG Terus,BKN MEMPERMUDAH,Tau gini ogah investasi di broker/ sekuritas yg Bank penampungnya BCA, Knpa? Ribet ternyata 😭",2,Negative
"ngak ngerti pas udah log in masukin nomor tapi nomor kode Indo gk ada. aneh banget, udah di uninstall juga kayak gitu",1,Negative
"gua punya akun tapi tidak bisa masuk, bank ktl",1,Negative
keren,5,Positive
Aplikasi yang lengkap dengan berbagai fitur dan mudah di gunakan good job myBCA,5,Positive
"ini gimana ? disruh uninstal malah pas di instal gk bisa masuk lagi ? pass dan ID sudah benar..masa disuruh masukan no handphone dan tidak ad pilihan indonesia, pdhl jelas saya berada di indonesia tidak di luar negeri..giliran di update malah ada masalah gini..",2,Negative
verifikasi muka aja gak bisa !,1,Negative
mudah mudahan aplikaai amanah,3,Neutral
saya baru saja membuat rekening bca 3hr yg lalu dan didaftarkan mybca oleh staff nya. info yg diberikan biaya admin akan terpotong tiap bulan 14rb tapi mengapa ini saya terpotong sudah 2x ya. awal terpotong 20rb lalu hari ini terpotong lg 14rb. kenapa bisa seperti ini. pdhl kartu bca saya jenis tahapan blue. aneh sekali terpotong sebanyak ini. bikin nyesel aja buat atm bca,2,Negative
masa udah transfer dari dana ke BCA saldonya ga masuk padahal di dana udah berhasil di kirim tapi di BCA belum masuk di mutasinya juga gada,1,Negative
"udah 2x saldo gw sisain 10.000 dan selalu 10.000 tiba tiba hilang, kalau limitnya saldo mengendapnya 10.000 yaudh biarin ajaa biar kalau mau isi saldo lagii ketauan sisanya dan kalau mau naro 50.000 bisa langsung di tarik. ada yang bisa jelasin kenapa 2x nyisain saldo 10.000 langsung ilang terus?",1,Negative
Good,5,Positive
Setiap memasuki id selalu terblokir,1,Negative
mantul,5,Positive
sangat puas,5,Positive
sangat mudah mengunakan nya,5,Positive
good bangettt,5,Positive
Saya sangat senang dengan layanan my BCA,5,Positive
lebih muda akses,5,Positive
"bikin e deposito dapat slip transaksi berhasil, tapi dicek ngga bisa depositonya. Duit ilang apa gimana ini.",1,Negative
"Kode Negara untuk Indonesia gak ada padahal sudah saya perbaharui, daftar susah gmn ini gak jelas",1,Negative
jos,5,Positive
"lantas kenapa setiap sya login lansung Otomasi terbuka penambahan nomor telepon untuk luar negeri padahall sya tidak memilih loo,sya baru login dan lansung terbuka fitur tersebut?",1,Negative
"hati-hati jika transaksi gagal dari pihak bank susah mengembalikan kembali saldo, perampokan jaman now!! sampai saat ini saya belum mendapatkan pengembalian uang qris yg dipotong (msh dalam proses) dr tgl 12 mei 2026",1,Negative
membuat semua urusan menjadi mudah ...,5,Positive
di update malah lemot,1,Negative
